"","name","confirm","dead","deadRate","heal","healRate"
"1","Wuhan",50333,3869,7.69,46335,92.06
"2","Shiyan",672,8,1.19,664,98.81
"3","Qianjiang",198,9,4.55,189,95.45
"4","Ezhou",1394,59,4.23,1335,95.77
"5","Tianmen",496,15,3.02,481,96.98
"6","Xiangyang",1175,40,3.4,1135,96.6
"7","Xiantao",575,22,3.83,553,96.17
"8","Enshi",252,7,2.78,245,97.22
"9","Shennongjia",11,0,0,11,100
"10","Yichang",931,37,3.97,894,96.03
"11","Huangshi",1015,39,3.84,976,96.16
"12","Jingzhou",1580,52,3.29,1528,96.71
"13","Suizhou",1307,45,3.44,1262,96.56
"14","Jingmen",928,41,4.42,887,95.58
"15","Xianning",836,15,1.79,821,98.21
"16","Huanggang",2907,125,4.3,2782,95.7
"17","Xiaogan",3518,129,3.67,3389,96.33
